Table Name,row,Default Priority,Longname,"description (appears as variable ""comment"" in CMIP6 netCDF files)",units,comment (not sure how this is used),"Notes, Corrections, & Questions",Notes/Questions category,Notes/Questions category (secondary),Notes/Questions category (tertiary),override default severity,# institutions reporting per out_name,# models reporting per out_name,error severity,CF Standard Name,original CMIP6 cell_methods,proposed modification of cell_methods,where rule,new cell_methods,"""where"" extraction","refine ""where"" extraction","""over"" extraction","refine ""over"" extraction","realm implied by ""over"" directive",areaLabelDD,areaLabelDD (more refined),new standard_name criteria for realm,new auto-assigned primary realm,"primary realm for ""nd"" and ""mr"" (by inspection)",composite primary realm,realmLabelDD,auto-assigned additional realm based on standard name,"concat auto-assigned additional realm based on ""over"" directive","expand secondary a and o to ap, ac,op, and oc",user-assigned additional realms,Secondary realm(s),realmsDD,CMIP6 attribute: positive,CMIP6 attribute: type,verticalLabelDD (preliminary),verticalLabelDD (secondary),"indicate ""surface snow"" variables",certain surface variables?,verticalLabelDD (tertiary),verticalLabelDD (by inspection),verticalLabelDD (final),verticalLabelDD (final),horizontalLabelDD,original CMIP6 dimensions,proposed change in dimensions,corrected CMIP6 dimensions,original CMOR entry label,original CMIP6 modeling_realm (1st listed is primary),original CMIP6 frequency,new frequency (intervalReportedDD),temporalLabelDD,cell_measures,"CMIP6 variable name (referred to as ""out_name""; also original ""root"" name)",original CMIP6 almost unique variable label,branded variable label (retaining old root names),proposed new roots,proposed branded variable label,length of old i.d.,length of branded name,larger by a factor of,new-old difference ,"1=ant/grn; 2=globe-avg; 3=dupl.; 4=diff; 5=mult,6= sampling, 7=other",duplicate branded variable names,CMIP6 original primary realm,CMIP6 original secondary realm,CMIP6 abbrev. Primary realm,CMIP6 abbrev. secondary realm,old & new primary realms different,new primary different from all old realms,old primary different from all new realms,variable registry root names,distinct root variable name,same std. name; different root variable name,distinct CMIP6 outnames,distinct standard names,why different variable root name needed?,use_stats variable identifier,corresponding row in use_stats table,download ranking,use_stats & this page consistency,"original: ""where"" extraction","original: refine ""where"" extraction","original: domain from ""where"" directive",,expanded frequency,temporal method,vertical coordinate information,horizontal coordinate information,"""area type"" restriction",definition_qualifier:  additional description of variable.,cleaned definition_qualifier (removing text in brackets from column just to the left),brand description: automatically generated based on branded variable information,"next-generation CMIP comment attribute for variable (constructed from original comment attribute appended to proposed ""definition_qualifier"" (NOTE: The text following the final ""::"" will need to be reviewed and edited.)",dataRegionDD,cleaned version of region,"preliminary long_name: replaces ""time"" with frequency reported ","long_name: adds to brand description both ""frequency"" and for non-global data, ""region"" labels",duplicate long names?,count number of variables with the same (old) label in rows above,table_id transferred from ESGF database,variable_id transferred from ESGF database,old variable label (from ESGF database),# models reporting variable listed in column DD,count number of variables consistent with ESGF label,# models reporting variable listed in column BH,unrequested variables,models/groups providing unrequested variables,variables that might change,subhr,1hr,3hr,6hr,day,mon,yr,dec,fx,all,,,3hr,6hrLev,6hrPlev,6hrPlevPt,AERday,AERhr,AERmon,AERmonZ,Amon,CF3hr,CFday,CFmon,CFsubhr,day,E1hr,E1hrClimMon,E3hr,E3hrPt,E6hrZ,Eday,EdayZ,Efx,Emon,EmonZ,Esubhr,Eyr,fx,IfxAnt,IfxGre,ImonAnt,ImonGre,IyrAnt,IyrGre,LImon,Lmon,Oclim,Oday,Odec,Ofx,Omon,Oyr,SIday,SImon,all,area type,,x,air,sea,land,sea_ice,ice_sheet,other,all,,priority 1,priority 2,priority 3,all,,,,,,,,,,,,,,,,,,,"length of original CMIP6 ""outname""","Exclude from variable registry.  No need to distinguish among variables in different ""regions"" (e.g., Antarctica and Greenland)",Modify dimensions.  No need for special horizontal coordinates. ,Modify dimensions.  Add or remove scalar coordinate.,Modify dimension.  Other,Check units.,Standard name issue.,Modiy root name.,"Deprecate? Eliminate one of ""point"" or ""mean"" variable options.",Depricate?  Few institutions contributed variable to CMIP6.,Eliminate or deprecate?  ,"Modify cell methods.  Include ""where air"".","Modify cell methods.  Include ""where sea"".",Modify cell methods.,number of correction/question error flags found,number of corrections/questions needing individual consideration,branding suffix,duplicate suffix?
Eday,113,1,Aerodynamic Resistance,"The ""aerodynamic_resistance"" is the resistance to mixing through the boundary layer toward the surface by means of the dominant process, turbulent transport. Reference: Wesely, M. L., 1989,  doi:10.1016/0004-6981(89)90153-4.",s m-1,aerodynamic_resistance,,,,,,missing,missing,,aerodynamic_resistance,area: mean where land time: mean,,1,area: mean where land time: mean,land,land,x,x,,lnd,lnd,a,lnd,,lnd,lnd,a,a,ap,,ap,lnd ap,0,real,z0X,z0X,x,,z0X,,z0,z0,hxy,longitude latitude time,,longitude latitude time,ares,land,day,day,tavg,area: areacella,ares,ares-Eday,ares-day-lnd-tavg-z0-hxy,,ares_tavg-z0-hxy-lnd,9,20,2.2,11,,,land,,ld,,1,1,1,ares,1,,1,1,,Eday.ares,missing,x,error1,land time: mean,land,ld,ld --> lnd,daily, time means,, reported on a 2-d spatial grid, where land,,,aerodynamic resistance: time means reported on a 2-d spatial grid where land,"The ""aerodynamic_resistance"" is the resistance to mixing through the boundary layer toward the surface by means of the dominant process, turbulent transport. Reference: Wesely, M. L., 1989,  doi:10.1016/0004-6981(89)90153-4.",global,global,aerodynamic resistance: daily means reported on a 2-d spatial grid where land,aerodynamic resistance: daily means reported on a 2-d spatial grid where land,,0,Efx,siltfrac,siltfrac-Efx,4,1,8,,,0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,land,,,,,missing,,,,,,missing,,,,tavg,<freq> mean,hxy,reported on a 2-d spatial grid,,,,,,land,z0,land time: mean,land,x,x,,ld,X,4,,,,,,,,,,,,,,0,0,tavg-z0-hxy-lnd,
SImon,18,2,Age of Sea Ice,Age of sea ice,s,0,,cell1,,,,missing,missing,1,age_of_sea_ice,area: time: mean where sea_ice (comment: mask=siconc),area: time: mean where sea_ice,2,area: time: mean where sea_ice,sea_ice,sea_ice,x,x,,si,si,si,si,,si,si,,,,,,si,0,real,z0X,z0X,x,,z0X,z0c,z0c,z0,hxy,longitude latitude time,,longitude latitude time,siage,seaIce,mon,mon,tavg,area: areacello,siage,siage-SImon,siage-mon-si-tavg-z0c-hxy,,siage_tavg-z0-hxy-si,11,20,1.8,9,,,seaIce,,si,,0,,,siage,,,2,2,,SImon.siage,missing,x,,sea_ice (comment: mask=siconc),sea_ice,si,,monthly, time means,, reported on a 2-d spatial grid, where sea_ice,,,age of sea ice: time means reported on a 2-d spatial grid where sea_ice,Age of sea ice,global,global,age of sea ice: monthly means reported on a 2-d spatial grid where sea_ice,age of sea ice: monthly means reported on a 2-d spatial grid where sea_ice,,0,Efx,wilt,wilt-Efx,2,1,39,,,1,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,sea_ice,,,,,,missing,,,,,,missing,,,,,1832,,surface,XXXXXXXX,surface,,,sea_ice,z0,sea_ice (comment: mask=siconc),sea_ice,x,x,,si,,5,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-si,
AERmonZ,9,1,Mean Age of Stratospheric Air,The mean age of air is defined as the mean time that a stratospheric air mass has been out of contact with the well-mixed troposphere.,yr,0,,air,,,,missing,missing,1,age_of_stratospheric_air,longitude: mean time: mean,longitude: time: mean where air,,longitude: time: mean where air,air,air,x,x,,not found,air,a,not found,,not found,unknown,a,a,ac,,ac,unknown ac,0,real,p,p39,x,,p39,,p39,p39,hy,latitude plev39 time,,latitude plev39 time,meanage,aerosol,mon,mon,tavg,0,meanage,meanage-AERmonZ,meanage-mon-unknown-tavg-p39-hy,,meanage_tavg-p39-hy-air,15,23,1.5,8,,,aerosol,,ac,,1,1,0,meanage,,,3,3,,AERmonZ.meanage,missing,x,error1,x,x,xx,xx --> not found,monthly, time means, requested on 39 pressure levels and, reported as a function of latitude, where air,,,age of stratospheric air: time means requested on 39 pressure levels and reported as a function of latitude where air,The mean age of air is defined as the mean time that a stratospheric air mass has been out of contact with the well-mixed troposphere.,global,global,age of stratospheric air: monthly means requested on 39 pressure levels and reported as a function of latitude where air,age of stratospheric air: monthly means requested on 39 pressure levels and reported as a function of latitude where air,,0,Efx,rld,rld-Efx,12,1,7,,,1,,,,,,missing,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,air,,,missing,,,,,,,,missing,,,,tpt,<freq> synoptic samples,hy,reported as a function of latitude,,,,,,air,p39,x,x,x,x,,x,X,7,,,,,,,,,,,10:Modify cell methods.  Include 'where air'.,,,1,0,tavg-p39-hy-air,
Eday,108,1,Mean Age of Snow,"Age of Snow (when computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as missing data in regions free of snow on land.",day,age_of_surface_snow,,cellWt,,,,missing,missing,1,age_of_surface_snow,area: mean where land time: mean,area: time: mean where land (weighted by snow mass on land),1,area: time: mean where land (weighted by snow mass on land),land (weighted by snow mass on land),land,x,x,,lnd,lnd,mr,lnd,,lnd,lnd,,,,,,lnd,0,real,z0X,z0X,snow,,z0X,z0c,z0c,z0,hxy,longitude latitude time,,longitude latitude time,agesno,landIce land,day,day,tavg,area: areacella,agesno,agesno-Eday,agesno-day-lnd-tavg-z0c-hxy,,agesno_tavg-z0-hxy-lnd,11,22,2.0,11,,,landIce,land,li,ld,1,1,1,agesno,,,4,4,,Eday.agesno,missing,x,error1,land time: mean,land,ld,ld --> lnd,daily, time means,, reported on a 2-d spatial grid, where land (weighted by snow mass on land),,,age of surface snow: time means reported on a 2-d spatial grid where land (weighted by snow mass on land),"Age of Snow (when computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as missing data in regions free of snow on land.",global,global,age of surface snow: daily means reported on a 2-d spatial grid where land (weighted by snow mass on land),age of surface snow: daily means reported on a 2-d spatial grid where land (weighted by snow mass on land),,0,Efx,clayfrac,clayfrac-Efx,9,1,3,,,1,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,land,,,,,missing,,,,,,missing,,,,,,58,,surface,XXXXXXXX,surface,,,land,z0,land time: mean,land,x,x,,ld,X,6,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-lnd,yes
LImon,27,1,Mean Age of Snow,"Age of Snow (when computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as missing data in regions free of snow on land.",day,"When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as ""missing in regions free of snow on land.",,cellWt,,,,missing,missing,1,age_of_surface_snow,area: mean where land time: mean (with samples weighted by snow mass),area: time: mean where land (weighted by snow mass on land),1,area: time: mean where land (weighted by snow mass on land),land (weighted by snow mass on land),land,x,x,,lnd,lnd,mr,lnd,,lnd,lnd,,,,,,lnd,0,real,z0X,z0X,snow,,z0X,z0c,z0c,z0,hxy,longitude latitude time,,longitude latitude time,agesno,landIce land,mon,mon,tavg,area: areacella,agesno,agesno-LImon,agesno-mon-lnd-tavg-z0c-hxy,,agesno_tavg-z0-hxy-lnd,12,22,1.8,10,,1,landIce,land,li,ld,1,1,1,agesno,1,,4,4,,LImon.agesno,missing,x,error1,land time: mean (with samples weighted by snow mass),land,ld,ld --> lnd,monthly, time means,, reported on a 2-d spatial grid, where land (weighted by snow mass on land),,,age of surface snow: time means reported on a 2-d spatial grid where land (weighted by snow mass on land),"Age of Snow (when computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as missing data in regions free of snow on land.",global,global,age of surface snow: monthly means reported on a 2-d spatial grid where land (weighted by snow mass on land),age of surface snow: monthly means reported on a 2-d spatial grid where land (weighted by snow mass on land),,0,Efx,rsd,rsd-Efx,11,1,10,,,1,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,land,,,,,missing,,,,,,missing,,,,tsum,summed and reported <freq>,hm,applicable to the entire horizontal domain of interest,surface,XXXXXXXX,surface,,,land,z0,land time: mean (with samples weighted by snow mass),land,x,x,,ld,X,6,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-lnd,yes
CF3hr,5,2,Pressure at Model Full-Levels,Air pressure on model levels,Pa,0,,,,,,missing,missing,,air_pressure,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevel time1,,longitude latitude alevel time1,pfull,atmos,3hrPt,3hr,tpt,area: areacella,pfull,pfull-CF3hr,pfull-3hr-unknown-tpt-l-hxy,,pfull_tpt-l-hxy-x,11,17,1.5,6,,,atmos,,ap,,1,1,0,pfull,,,5,5,,CF3hr.pfull,missing,x,,x,x,xx,xx --> x,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,, on model full-levels, on model full-levels,air pressure on model full-levels: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid, on model full-levels :: Air pressure on model levels,global,global,air pressure on model full-levels: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,air pressure on model full-levels: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,,0,Efx,sftgrf,sftgrf-Efx,13,1,3,,,0,,,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,,missing,,,,,51,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,
6hrLev,9,1,Pressure at Model Full-Levels,Air pressure on model levels,Pa,"Air Pressure (required only if pressure on model levels cannot be derived from other fields, e.g. for a non-hydrostatic model)",,,,,,missing,missing,,air_pressure,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevel time1,,longitude latitude alevel time1,pfull,atmos,6hrPt,6hr,tpt,area: areacella,pfull,pfull-6hrLev,pfull-6hr-unknown-tpt-l-hxy,,pfull_tpt-l-hxy-x,12,17,1.4,5,,1,atmos,,ap,,1,1,0,pfull,1,,5,5,,6hrLev.pfull,missing,x,error1,x,x,xx,xx --> x,6-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,, on model full-levels, on model full-levels,air pressure on model full-levels: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid, on model full-levels :: Air pressure on model levels,global,global,air pressure on model full-levels: 6-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,air pressure on model full-levels: 6-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,,0,Efx,slthick,slthick-Efx,13,1,6,,,0,,,,missing,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,tcla,monthly climatology,hxys,reported at a collection of individual sites,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,yes
CFday,36,1,Pressure at Model Full-Levels,Air pressure on model levels,Pa,0,,,,,,missing,missing,,air_pressure,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevel time,,longitude latitude alevel time,pfull,atmos,day,day,tavg,area: areacella,pfull,pfull-CFday,pfull-day-unknown-tavg-l-hxy,,pfull_tavg-l-hxy-x,11,18,1.6,7,,,atmos,,ap,,1,1,0,pfull,1,,5,5,,CFday.pfull,missing,x,error1,x,x,xx,xx --> x,daily, time means, provided on multiple model levels and, reported on a 2-d spatial grid,, on model full-levels, on model full-levels,air pressure on model full-levels: time means provided on multiple model levels and reported on a 2-d spatial grid, on model full-levels :: Air pressure on model levels,global,global,air pressure on model full-levels: daily means provided on multiple model levels and reported on a 2-d spatial grid,air pressure on model full-levels: daily means provided on multiple model levels and reported on a 2-d spatial grid,,0,Efx,ksat,ksat-Efx,11,1,18,,,0,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,92,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tavg-l-hxy-x,
AERmon,96,1,Pressure at Model Full-Levels,Air pressure on model levels,Pa,The atmospheric pressure at the model layer midpoints for all times and levels in the associated output variables,,,,,,missing,missing,,air_pressure,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevel time,,longitude latitude alevel time,pfull,aerosol,mon,mon,tavg,area: areacella,pfull,pfull-AERmon,pfull-mon-unknown-tavg-l-hxy,,pfull_tavg-l-hxy-x,12,18,1.5,6,,1,aerosol,,ac,,1,1,1,pfull,1,,5,5,,AERmon.pfull,missing,x,error1,x,x,xx,xx --> x,monthly, time means, provided on multiple model levels and, reported on a 2-d spatial grid,, on model full-levels, on model full-levels,air pressure on model full-levels: time means provided on multiple model levels and reported on a 2-d spatial grid, on model full-levels :: Air pressure on model levels,global,global,air pressure on model full-levels: monthly means provided on multiple model levels and reported on a 2-d spatial grid,air pressure on model full-levels: monthly means provided on multiple model levels and reported on a 2-d spatial grid,,0,Efx,vegHeight,vegHeight-Efx,1,1,14,,,0,,,,,,missing,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,tcld,hourly climatology for each month,hys,reported as a function of latitude and ocean basin,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tavg-l-hxy-x,yes
Amon,75,1,Pressure at Model Full-Levels,Air pressure on model levels,Pa,0,,,,,,missing,missing,,air_pressure,area: mean time: mean within years time: mean over years,,,area: mean time: mean within years time: mean over years,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevel time2,,longitude latitude alevel time2,pfull,atmos,monC,mon,tcla,area: areacella,pfull,pfull-Amon,pfull-mon-unknown-tcla-l-hxy,,pfull_tcla-l-hxy-x,10,18,1.8,8,,,atmos,,ap,,1,1,0,pfull,1,,5,5,,Amon.pfull,missing,x,error1,x,x,xx,xx --> x,monthly, climatology, provided on multiple model levels and, reported on a 2-d spatial grid,, on model full-levels, on model full-levels,air pressure on model full-levels: climatology provided on multiple model levels and reported on a 2-d spatial grid, on model full-levels :: Air pressure on model levels,global,global,air pressure on model full-levels: monthly climatology provided on multiple model levels and reported on a 2-d spatial grid,air pressure on model full-levels: monthly climatology provided on multiple model levels and reported on a 2-d spatial grid,,0,Efx,rsu,rsu-Efx,11,1,22,,,0,,,,,,missing,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,19,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tcla-l-hxy-x,
